target_domain,ip_address,provider,organization,data_center_location,lat,lon,university_name,campus_lat,campus_lon
kolieh.com,217.160.0.99,IONOS SE,Ionos Inf,"Essen, Germany",51.4576,7.02246,International Centre for Isclamic Science,,
lamp.ac.uk,193.62.88.10,Jisc Services Limited,University of Wales Trinity Saint David,"Norwich, United Kingdom",52.6259,1.3032,"University of Wales, Lampeter",52.1131223,-4.0751593
lancs.ac.uk,148.88.65.80,Lancaster University,,"Lancaster, United Kingdom",54.0479,-2.7977,University of Lancaster,54.0098429,-2.7875768
lboro.ac.uk,76.223.116.192,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"Seattle, United States",47.4815,-122.246,Loughborough University,52.763845,-1.2372582
le.ac.uk,143.210.133.109,University of Leicester,"IT Services, University of Leicester","Leicester, United Kingdom",52.6049,-1.1488,University of Leicester,52.6175241,-1.1377672
leeds.ac.uk,3.33.141.243,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"Montreal, Canada",45.5019,-73.5674,University of Leeds,53.8057925,-1.555111
limt.co.uk,149.255.58.123,Unlimited Web Hosting UK LTD,Unlimited Web Hosting UK LTD,"London, United Kingdom",51.5072,-0.127586,London Institute of Management and Technology,,
lincoln.ac.uk,15.197.195.183,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"Montreal, Canada",45.5019,-73.5674,University of Lincoln,53.2263804,-0.5461286
liv.ac.uk,138.253.13.50,Jisc Services Limited,University of Liverpool,"Liverpool, United Kingdom",53.4096,-2.9792,University of Liverpool,53.4072429,-2.9658337
ljmu.ac.uk,51.142.65.85,Microsoft Corporation,Microsoft Azure Cloud (uksouth),"City of London, United Kingdom",51.5113,-0.079212,Liverpool John Moores University,53.4037508,-2.9726752
leedsbeckett.ac.uk,18.171.30.181,Amazon Technologies Inc.,AWS EC2 (eu-west-2),"London, United Kingdom",51.5074,-0.127758,Leeds Beckett University,53.8261442,-1.5933537
london.ac.uk,128.86.132.14,Jisc Services Limited,Jisc Services Limited,"City of London, United Kingdom",51.5153,-0.10931,University of London,51.5218979,-0.1288676
londonmet.ac.uk,163.167.82.93,University of North London,London Metropolitan University,"City of London, United Kingdom",51.5516,-0.110543,London Metropolitan University,51.5173823,-0.0883496
lsbf.org.uk,51.104.28.81,Microsoft Corporation,Microsoft Azure App Service (uksouth),"City of London, United Kingdom",51.5113,-0.079212,London School of Business & Finance,51.5182509,-0.1168755
lse.ac.uk,185.18.139.132,Zengenti Ltd.,,"Ludlow, United Kingdom",52.4177,-2.63996,"London School of Economics and Political Science, University of London",51.5146063,-0.1164509
lshtm.ac.uk,52.31.60.123,Amazon Technologies Inc.,AWS EC2 (eu-west-1),"Dublin, Ireland",53.3498,-6.26031,"London School of Hygiene & Tropical Medicine, University of London",,
manchester.ac.uk,18.133.51.167,Amazon Technologies Inc.,AWS EC2 (eu-west-2),"London, United Kingdom",51.5074,-0.127758,University of Manchester,53.4660226,-2.2330858
mdx.ac.uk,35.71.145.196,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"Montreal, Canada",45.5019,-73.5674,Middlesex University - London,51.6591227,-0.1333415
mmu.ac.uk,52.211.85.12,"Amazon.com, Inc.",AWS EC2 (eu-west-1),"Dublin, Ireland",53.3498,-6.26031,The Manchester Metropolitan University,,
napier.ac.uk,146.176.202.99,Napier University,Edinburgh Napier University,"Edinburgh, United Kingdom",55.9153,-3.1977,Edinburgh Napier University,55.9311064,-3.2093902
ncl.ac.uk,128.240.216.85,Jisc Services Limited,University of Newcastle upon Tyne,"Newcastle upon Tyne, United Kingdom",54.9742,-1.615,Newcastle University,54.9801751,-1.6146802
niu.org.uk,76.223.67.189,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"Seattle, United States",47.4815,-122.246,Newport International University,,
northampton.ac.uk,141.193.213.10,"Cloudflare London, LLC","WPEngine, Inc.","Austin, United States",30.2681,-97.7462,University of Northampton,52.2312458,-0.8898806
nottingham.ac.uk,185.18.139.133,Zengenti Ltd.,,"Ludlow, United Kingdom",52.4177,-2.63996,University of Nottingham,52.9387428,-1.2002957
ntu.ac.uk,2.58.104.10,Squiz Pty Ltd,Squiz Cdn1,"Sydney, Australia",-33.8688,151.209,Nottingham Trent University,52.91164,-1.1866048
open.ac.uk,137.108.200.89,Open University,Open University,"Dalkeith, United Kingdom",55.8914,-3.0782,Open University,52.0245378,-0.7092748
oxford.ac.uk,163.1.221.216,Oxford University Computing Service,Oxford University,"Oxford, United Kingdom",51.7283,-1.2406,University of Oxford,51.7525461,-1.21433
plymouth.ac.uk,20.67.173.146,Microsoft Corporation,Microsoft Azure Cloud (northeurope),"Dublin, Ireland",53.3478,-6.2597,University of Plymouth,50.3757001,-4.1393786
qub.ac.uk,3.33.160.244,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"Montreal, Canada",45.5019,-73.5674,The Queen's University Belfast,54.5862776,-5.935624
ram.ac.uk,94.247.142.1,"Cloudflare London, LLC",Bit Breakfast Ltd,"Houston, United States",29.7604,-95.3698,"Royal Academy of Music, University of London",51.5234636,-0.1518619
rca.ac.uk,89.106.200.1,Enflow B.V.,Enflow B.V,"Alphen aan den Rijn, The Netherlands",52.1306,4.66227,Royal College of Art,51.4792809,-0.1704551
rcm.ac.uk,99.83.248.220,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"Seattle, United States",47.4815,-122.246,"Royal College of Music, University of London",51.4994776,-0.1771007
rdg.ac.uk,134.225.0.151,Reading University,University of Reading,"Reading, United Kingdom",51.4425,-0.9267,University of Reading,51.4404358,-0.9417618
rgu.ac.uk,194.66.86.142,Jisc Services Limited,The Robert Gordon University,"Southampton, United Kingdom",50.9142,-1.388,The Robert Gordon University,,
royalholloway.ac.uk,20.90.134.23,Microsoft Corporation,Microsoft Azure App Service (uksouth),"City of London, United Kingdom",51.5113,-0.079212,Royal Holloway and Bedford New College,51.4244496,-0.5642554
richmond.ac.uk,141.193.213.21,"Cloudflare London, LLC","WPEngine, Inc.","Austin, United States",30.2681,-97.7462,Richmond University - The American International University in London,,
roehampton.ac.uk,217.114.94.2,EPiServer AB,Episerver AB,"Stockholm, Sweden",59.3354,18.0672,Roehampton University of Surrey,,
salford.ac.uk,150.171.109.198,Microsoft Corporation,Microsoft Corporation,"Nairobi, Kenya",-1.29207,36.8219,University of Salford,53.4732204,-2.2970993
sas.ac.uk,128.86.132.14,Jisc Services Limited,Jisc Services Limited,"City of London, United Kingdom",51.5153,-0.10931,"School of Advanced Study, University of London",,
sclondon.ac,67.223.118.67,"Namecheap, Inc.","Namecheap, Inc","Chicago, United States",41.8781,-87.6298,Stratford College London,51.5398046,0.0044679
sghms.ac.uk,194.82.51.35,Jisc Services Limited,St George's,"Tooting, United Kingdom",51.432,-0.1699,"Saint George's Hospital Medical School, University of London",,
shef.ac.uk,143.167.2.102,Jisc Services Limited,University of Sheffield,"Sheffield, United Kingdom",53.35,-1.55,The University of Sheffield,,
shu.ac.uk,52.155.219.201,Microsoft Corporation,Microsoft Azure Cloud (northeurope),"Dublin, Ireland",53.3478,-6.2597,Sheffield Hallam University,53.3817264,-1.4627951
soas.ac.uk,151.101.130.216,"Fastly, Inc.","Fastly, Inc.","Montreal, Canada",45.5019,-73.5674,"School of Oriental and African Studies, University of London",51.5218979,-0.1288676
